Track,Question_no,Question,Answer_A,Answer_B,Answer_C,Correct Answer
ENGINEERING (AR),1,لقد تم تعيينك للتو مهندساً رئيسياً لبرج شقق فاخرة جديدة. ما هي خطوتك الأولى؟,مراجعة خطط المشروع والتأكد من الجدوى الإنشائية.,طلب قهوة والأمل في أن يبني البرج نفسه.,الاتصال بصديقك لتسأله إن كانت لديه عصا سحرية.,A
ENGINEERING (AR),2,اكتشفت أن تربة الأرض أكثر ليونة مما كان متوقعاً. ماذا ستفعل؟,إجراء اختبارات تربة إضافية وتكييف تصميم الأساسات.,بناء البرج على أي حال والأمل في أن يطفو.,اقتراح تحويل المبنى بأكمله إلى غواصة.,A
ENGINEERING (AR),3,يريد العميل الآن مسبحاً لا نهائياً على السطح. ما هي خطوتك التالية؟,حساب الحمل وتصميم التعزيزات لوزن الماء.,استبدال الماء بصور ثلاثية الأبعاد.,تركيب ترامبولين بدلاً من المسبح - فهو أكثر ارتداداً.,A
ENGINEERING (AR),4,البناء جارٍ ومورّد متأخر. ما قرارك؟,إيجاد مورّد بديل وتعديل الجداول الزمنية.,الذعر والهروب إلى الصحراء.,استبدال كل الخرسانة بالهلام - إنه لذيذ وملوّن.,A
ENGINEERING (AR),5,يقول مفتش المدينة إن تصميم برجك المخطط له طويل جداً وفق قوانين التخطيط العمراني الحالية. ما خطوتك التالية؟,تصميم البرج ليطوى مثل تلسكوب ليتوافق مع اللوائح.,التعاون مع مخططي المدينة وتعديل الارتفاع أو طلب التصنيف العمراني.,نقل المبنى إلى القمر - لا قوانين تخطيط هناك!,B
ENGINEERING (AR),6,في منتصف البناء يعرض مورّد مواد صديقة للبيئة بسعر مخفّض. ماذا تفعل؟,تجاهله - الصديق للبيئة يعني اللون الأخضر والأخضر يتعارض مع نظام ألوانك.,تقييم المواد من حيث المتانة والتكلفة والاستدامة والتعديل إذا كان مناسباً.,بناء بيت على شجرة بدلاً من ذلك - 100٪ صديق للبيئة!,B
ENGINEERING (AR),7,يُتوقع عاصفة في يوم صب الخرسانة. ما قرارك؟,إعادة جدولة الصب والتأكد من أن ظروف الطقس مثالية.,الصب على أي حال ودع العاصفة تساعد - من يحتاج إلى خرسانة ناعمة؟,استخدام أقراص الخطمي بدلاً من ذلك - إنها ناعمة ومقاومة للعواصف!,A
ENGINEERING (AR),8,تم خفض الميزانية فجأة بنسبة 10٪. ما أسلوبك؟,إعادة تقييم المواد والتصميم والجداول الزمنية للبقاء ضمن الميزانية.,استبدال كل الأثاث بالكرتون - قابل لإعادة التدوير وعصري!,إخبار العميل بأن يحضر طوبه الخاص.,A
ENGINEERING (AR),9,البرج على وشك الاكتمال لكن المصاعد لم تُركَّب بعد. ما حلّك؟,تحديد موعد مع مقاول مصاعد موثوق لضمان التركيب الآمن.,اقتراح زلّاقة عملاقة من الطابق العلوي إلى الردهة - ممتعة وسريعة!,توزيع المظلات - الأمر كله يتعلق بالإثارة.,A
ENGINEERING (AR),10,المبنى مكتمل - حان وقت تقديمه. ما هي لحظتك الختامية؟,تنظيم جولة احترافية لعرض جميع الميزات التي هندستها.,تحليق منطاد بلافتة تاداا عملاقة - الأمر كله يتعلق بالمشهد.,لفّ المبنى بقوس عملاق - لأن من لا يحب الهدايا؟,A
