Track,Question_no,Question,Answer_A,Answer_B,Answer_C,Correct Answer
Engineering,1,You’ve just been assigned as the lead engineer for a new luxury apartment tower. What’s your first step?,Order a coffee and hope the tower builds itself.,Review the project plans and ensure structural feasibility.,Call your friend to ask if they have a magic wand.,B
Engineering,2,You discover the ground soil is softer than expected. What do you do?,Conduct additional soil tests and adapt the foundation design.,Build the tower anyway and hope it floats.,Suggest the whole building become a submarine instead.,A
Engineering,3,Now the client wants a rooftop infinity pool. What’s your next step?,Install a trampoline instead of a pool—it’s bouncier.,Replace the water with holograms.,Calculate the load and design reinforcements for water weight.,C
Engineering,4,"Construction is underway, and a supplier is delayed. What’s your decision?",Find an alternative supplier and adjust timelines.,Panic and run away to the desert.,Replace all concrete with jelly—it’s delicious and colorful.,A
Engineering,5,The city inspector says your planned tower design is too tall for current zoning laws. What’s your next step?,Design the tower to fold like a telescope to fit regulations.,Collaborate with city planners and adjust the height or zoning application.,Move the building to the moon—no zoning there!,B
Engineering,6,"Midway through construction, a supplier offers discounted eco-friendly materials. What do you do?","Ignore it—eco-friendly means green, and green clashes with your color scheme.","Evaluate the materials for strength, cost, and sustainability, and adjust if appropriate.",Build a treehouse instead—100% eco-friendly!,B
Engineering,7,A storm is predicted on your concrete pouring day. What’s your decision?,Use marshmallows instead—they’re soft and storm-proof!,Pour anyway and let the storm “help”—who needs smooth concrete?,Reschedule the pour and ensure weather conditions are optimal.,C
Engineering,8,The budget is suddenly cut by 10%. What’s your approach?,Replace all furniture with cardboard—recyclable and trendy!,Tell the client to bring their own bricks.,"Re-evaluate materials, design, and timelines to stay on budget.",C
Engineering,9,"The tower is almost complete, but the elevators aren’t installed yet. What’s your solution?",Schedule a reliable elevator contractor to ensure safe installation.,Suggest a giant slide from the penthouse to the lobby—fun and fast!,Hand out parachutes—it’s all about the thrill.,A
Engineering,10,The building is complete—time to present it. What’s your finale?,Wrap the building in a giant bow—because who doesn’t love presents?,"Organize a professional walkthrough, showcasing all the features you engineered.",Fly a blimp with a giant “Ta-da!” banner—it’s all about the spectacle.,B
IT,1,"You receive an email from someone claiming to be the CEO asking you to urgently buy AED 25,000 worth of gift cards. What do you do?",Buy the gift cards immediately.,Verify the request before taking any action.,Call the CEO's PA next week to ask about it.,B
IT,2,A construction site reports they've lost internet access and engineers can't access the latest drawings. What's your first step?,Tell the team to continue working without the drawings.,Ask everyone to use their phones as hotspots for the rest of the week.,Investigate the site connection and identify the cause of the outage.,C
IT,3,HR wants to introduce an AI assistant to answer employee questions. What's your recommendation?,Review the requirements and ensure company data is protected before implementation.,Let HR upload confidential company files into any public AI tool to test it.,Tell HR AI is too new and shouldn't be used.,A
IT,4,The company website suddenly goes offline just after Marketing launches a major campaign. What's your priority?,Build a brand-new website immediately.,"Investigate the hosting, DNS and server status to identify the cause.",Wait a few hours to see if it comes back by itself.,B
IT,5,A new employee starts in 15 minutes but doesn't yet have a Microsoft 365 account. What should you do?,Give them another employee's login for the morning.,Give them access to a personal Gmail account instead.,Create their account and assign the correct permissions as quickly as possible.,C
IT,6,The Board meeting begins in three minutes and the Teams Room won't connect. What's your best response?,Ask everyone to postpone the meeting until tomorrow.,Troubleshoot the Teams Room immediately and get it working.,Suggest everyone joins from their own laptops while you continue investigating.,B
IT,7,A senior manager reports they've lost their company mobile phone. What's the first thing you should do?,Wait to see if someone hands it in.,Lock or wipe the device remotely and secure the company account.,Buy them a brand-new phone immediately.,B
IT,8,Finance reports they can't process supplier payments because the ERP system is unavailable. What's your priority?,Tell suppliers they'll have to wait until next week.,Continue processing payments manually forever.,Escalate the outage immediately and begin restoring the ERP service.,C
IT,9,You receive an alert that last night's cloud backup failed. What should you do?,Investigate the failed backup and make sure a successful backup runs as soon as possible.,Turn the backup alerts off so they stop appearing.,Wait until tomorrow to see if it fixes itself automatically.,A
IT,10,A power failure shuts down Head Office during the middle of the working day. What should happen next?,Wait for the electricity to return before making any decisions.,Activate the Disaster Recovery plan and restore critical business systems.,Send everyone home and hope everything works tomorrow.,B
FINANCE,1,"You're reviewing payments when you notice the same supplier has submitted two invoices for exactly AED 250,000.",Pay both quickly so the supplier stays happy.,Investigate whether one is a duplicate before approving payment.,Pay half of each invoice so everyone wins.,B
FINANCE,2,The CEO asks if the company can afford to buy ten new company vehicles this month.,Review the company's budget and cash position before answering.,"Tell the CEO it ""feels like a good idea.""",Buy them first and work out the budget later.,A
FINANCE,3,"A project manager wants to buy a gold coffee machine for the site office because ""the team deserves it.""",Approve it immediately because coffee is important.,Ask whether the purchase is within budget and actually needed.,Buy two in case one breaks.,B
FINANCE,4,A supplier offers a 15% discount if you pay today.,Pay immediately without checking anything.,Ignore the discount completely.,Check approvals and cash flow to see if taking the discount benefits the company.,C
FINANCE,5,"You discover someone has added an extra zero to a payment. Instead of AED 5,000, it's AED 50,000!",Pretend you didn't notice.,Stop the payment and investigate before any money leaves the company.,Hope the bank notices instead.,B
FINANCE,6,The Finance Director asks which construction project is making the most money.,Guess the biggest building must be the most profitable.,Analyse the project financial reports before answering.,Ask the security guard.,B
FINANCE,7,"During lunch you find a USB stick labelled ""Company Payroll"".",Plug it into your computer to see what's on it.,Hand it to the nearest person you see.,Treat it as sensitive information and follow company security procedures.,C
FINANCE,8,"A supplier calls saying they haven't been paid, but your records show the payment was made yesterday.",Pay them again to avoid an argument.,Check the payment details and help trace where the money went.,Tell them they'll have to figure it out themselves.,B
FINANCE,9,"You're preparing next year's budget when a department requests AED 2 million for ""fun stuff.""",Approve it because it sounds exciting.,Ask for a detailed business justification before including it.,Reduce it to AED 1 million without asking why they need it.,B
FINANCE,10,"At the annual company awards, your manager asks what Finance really does for the business.",Count money all day.,Make spreadsheets look pretty.,Help the business make smart financial decisions and protect company money.,C
MARKETING,1,"The billboard for your new luxury apartment development has just gone up, but someone notices the phone number is wrong. What do you do?",Contact the billboard company immediately and arrange for the advert to be corrected as quickly as possible.,Leave it because people will probably find the website instead.,Send someone up with a giant marker pen to correct the number by hand.,A
MARKETING,2,You only have enough budget for ONE major marketing activity to promote a new luxury apartment development aimed at young professionals in Dubai. Which do you choose?,"Organise a huge launch party at Dubai Marina with DJs, fireworks and free food, hoping people will buy apartments while they're there.",Take out a full-page advert in a luxury lifestyle magazine.,Launch a targeted digital campaign on LinkedIn and Instagram aimed at young professionals.,C
MARKETING,3,The photographer cancels the day before your luxury apartment campaign is due to launch. What do you do?,Arrange another photographer or reschedule the shoot so the campaign still launches professionally.,"Use the photos from the last apartment project—they're ""close enough.""",Download random apartment photos from Google Images and hope nobody notices.,A
MARKETING,4,You discover that one of your social media adverts has a spelling mistake after it has already been published. What do you do?,Leave it because most people probably won't notice.,Correct it as soon as possible and republish the advert.,Tell everyone the spelling mistake was part of a clever marketing strategy.,B
MARKETING,5,One of your social media posts receives a negative comment from an unhappy customer. What do you do?,"Respond politely, thank them for the feedback and try to resolve the issue.",Ignore the comment and hope it disappears.,Reply using your personal account and start an argument in the comments.,A
MARKETING,6,An influencer with 2 million followers offers to promote your luxury apartment development. What do you do first?,See if the company can offer them a free luxury apartment in exchange for becoming a lifetime brand ambassador.,Ask if they'll take a selfie with you before discussing the campaign.,"Check whether their audience, reputation and previous partnerships are a good fit for your brand before making a decision.",C
MARKETING,7,Your team has come up with three headlines for a new luxury apartment development. Which one would you choose?,Where Your Next Chapter Begins.,Luxury Apartments Available Now.,Buy One Today... Because Your Friends Already Have.,A
